split,candidate_model,condition,rows,pearson_r,pearson_p,spearman_rho,spearman_p,mean_qwen_judge,mean_gpt4o_judge,mean_difference_gpt_minus_qwen,mae,exact_agreement,agreement_within_0_2
abductive,Llama-3.1-8B,all,3970,0.5526774483332578,1.98039436e-316,0.5400057366340741,2.0657391989789356e-299,0.6303274559193954,0.6858942065491185,0.05556675062972291,0.1430226700251889,0.4596977329974811,0.847103274559194
abductive,Llama-3.1-8B,A,1985,0.5397479933448617,1.7260540406835086e-150,0.5382758770644424,1.590142997750713e-149,0.5984886649874055,0.6401007556675063,0.04161209068010075,0.1490176322418136,0.4488664987405542,0.8317380352644836
abductive,Llama-3.1-8B,B,1985,0.5371099397405823,9.159151880722645e-149,0.5038694443939782,2.738570477056681e-128,0.6621662468513855,0.7316876574307305,0.06952141057934509,0.13702770780856424,0.47052896725440807,0.8624685138539043
abductive,Qwen2.5-7B,all,3970,0.36565031484172156,7.458282306362629e-126,0.42204940312263584,2.822772155084445e-171,0.7526700251889169,0.7482619647355164,-0.0044080604534004805,0.26198992443324937,0.17103274559193954,0.6894206549118388
abductive,Qwen2.5-7B,A,1985,0.39637865125032656,1.1290505054616165e-75,0.45149255880935607,2.7326440057895815e-100,0.7223677581863979,0.7202015113350126,-0.0021662468513853686,0.2646347607052897,0.16624685138539042,0.670528967254408
abductive,Qwen2.5-7B,B,1985,0.3135374054378807,1.5713332410580205e-46,0.3718524338306911,3.9805461700794514e-66,0.7829722921914358,0.7763224181360201,-0.006649874055415588,0.2593450881612091,0.17581863979848866,0.7083123425692696
control,Llama-3.1-8B,all,300,0.898301649167787,1.8918683417744573e-108,0.6824086418875597,1.8663899974381003e-42,0.6366666666666667,0.7993333333333333,0.16266666666666665,0.176,0.30333333333333334,0.8366666666666667
control,Llama-3.1-8B,A,150,0.886153903820012,2.6793424612215945e-51,0.7030348166734487,1.140078972620138e-23,0.6266666666666666,0.8053333333333335,0.17866666666666664,0.18933333333333333,0.2733333333333333,0.8133333333333334
control,Llama-3.1-8B,B,150,0.9117107221029617,4.765001010043718e-59,0.6663960405275191,1.3167022777638377e-20,0.6466666666666666,0.7933333333333333,0.1466666666666666,0.16266666666666665,0.3333333333333333,0.86
control,Qwen2.5-7B,all,300,0.7201614730726772,3.124178758837213e-49,0.19756884914653755,0.0005780870500189843,0.9976666666666667,0.9933333333333333,-0.004333333333333333,0.005666666666666666,0.9666666666666667,1.0
control,Qwen2.5-7B,A,150,,,,,1.0,0.9946666666666666,-0.005333333333333332,0.005333333333333332,0.9733333333333334,1.0
control,Qwen2.5-7B,B,150,0.8311233867418281,1.5009639052453494e-39,0.28182683538061254,0.0004760535789964486,0.9953333333333334,0.9920000000000001,-0.0033333333333333327,0.005999999999999998,0.96,1.0
